iter	Passed	Remaining
0	145	145721
1	146	73020
2	146	48791
3	147	36671
4	147	29397
5	148	24549
6	148	21083
7	149	18485
8	149	16468
9	150	14851
10	150	13529
11	150	12427
12	151	11493
13	151	10691
14	152	9998
15	152	9390
16	153	8855
17	153	8378
18	154	7952
19	154	7568
20	154	7221
21	155	6906
22	155	6618
23	156	6354
24	156	6112
25	157	5887
26	157	5679
27	158	5486
28	158	5306
29	158	5138
30	159	4981
31	159	4834
32	160	4695
33	160	4566
34	161	4446
35	161	4330
36	162	4220
37	162	4116
38	163	4017
39	163	3923
40	163	3834
41	164	3749
42	164	3668
43	165	3591
44	165	3517
45	166	3446
46	166	3378
47	167	3313
48	167	3251
49	167	3191
50	168	3134
51	168	3078
52	169	3025
53	169	2974
54	170	2924
55	170	2876
56	171	2830
57	171	2786
58	172	2743
59	172	2702
60	172	2661
61	173	2622
62	173	2584
63	174	2548
64	174	2513
65	175	2478
66	175	2444
67	176	2412
68	176	2380
69	176	2350
70	177	2320
71	177	2291
72	178	2262
73	178	2235
74	179	2208
75	179	2182
76	179	2156
77	180	2131
78	180	2107
79	181	2084
80	181	2061
81	182	2039
82	182	2014
83	182	1993
84	183	1972
85	183	1952
86	184	1932
87	185	1918
88	185	1899
89	185	1880
90	186	1862
91	186	1844
92	187	1826
93	187	1809
94	188	1792
95	188	1775
96	189	1759
97	189	1743
98	189	1728
99	190	1713
100	190	1697
101	191	1683
102	191	1669
103	192	1655
104	192	1641
105	192	1627
106	193	1614
107	193	1601
108	194	1588
109	194	1575
110	195	1563
111	195	1550
112	196	1538
113	196	1527
114	197	1516
115	197	1505
116	197	1493
117	198	1482
118	198	1471
119	199	1461
120	199	1450
121	200	1440
122	200	1430
123	201	1420
124	201	1410
125	201	1400
126	202	1390
127	202	1381
128	203	1371
129	203	1362
130	204	1353
131	204	1344
132	204	1335
133	205	1326
134	205	1318
135	206	1309
136	206	1301
137	207	1293
138	207	1285
139	208	1278
140	208	1270
141	208	1261
142	209	1254
143	209	1246
144	210	1239
145	210	1231
146	210	1224
147	211	1217
148	211	1210
149	212	1203
150	212	1196
151	213	1189
152	213	1182
153	214	1175
154	214	1169
155	214	1162
156	215	1156
157	215	1149
158	216	1143
159	216	1137
160	216	1130
161	217	1124
162	217	1118
163	218	1112
164	218	1106
165	219	1100
166	219	1095
167	220	1090
168	220	1084
169	221	1079
170	221	1073
171	221	1068
172	222	1063
173	222	1058
174	223	1053
175	223	1048
176	224	1042
177	224	1037
178	225	1033
179	225	1028
180	226	1023
181	226	1018
182	227	1013
183	227	1009
184	227	1004
185	228	999
186	228	994
187	229	990
188	229	985
189	230	981
190	230	977
191	231	972
192	231	968
193	232	964
194	232	960
195	233	955
196	233	951
197	233	947
198	234	943
199	234	938
200	235	934
201	235	930
202	236	926
203	236	922
204	237	919
205	237	915
206	238	912
207	238	908
208	238	904
209	239	900
210	239	896
211	240	893
212	240	889
213	241	885
214	241	881
215	242	878
216	242	874
217	242	871
218	243	867
219	243	864
220	244	861
221	245	858
222	245	855
223	246	852
224	246	849
225	246	845
226	247	842
227	247	839
228	248	836
229	248	832
230	249	829
231	249	826
232	250	823
233	250	819
234	250	816
235	251	813
236	251	810
237	252	807
238	252	804
239	253	801
240	253	798
241	254	795
242	254	792
243	254	789
244	255	786
245	255	784
246	256	781
247	256	778
248	257	776
249	257	773
250	258	770
251	258	768
252	259	765
253	259	762
254	260	760
255	260	757
256	261	754
257	261	752
258	261	749
259	262	746
260	262	744
261	263	741
262	263	739
263	264	736
264	264	734
265	265	731
266	265	729
267	266	726
268	266	724
269	266	721
270	267	719
271	268	717
272	268	715
273	269	713
274	269	710
275	270	708
276	270	706
277	271	704
278	271	702
279	272	700
280	273	698
281	273	696
282	274	694
283	274	692
284	275	690
285	275	688
286	276	686
287	276	684
288	277	682
289	277	679
290	278	678
291	278	675
292	279	673
293	279	672
294	280	670
295	281	668
296	281	666
297	282	664
298	282	662
299	283	660
300	283	658
301	284	656
302	284	655
303	285	653
304	285	651
305	286	649
306	286	647
307	287	645
308	287	643
309	288	641
310	288	639
311	289	637
312	289	635
313	290	633
314	290	631
315	290	629
316	291	628
317	292	626
318	292	624
319	293	622
320	293	621
321	294	619
322	294	617
323	295	616
324	295	614
325	296	612
326	296	610
327	297	608
328	297	607
329	298	605
330	298	603
331	298	601
332	299	599
333	299	597
334	300	596
335	300	594
336	301	592
337	301	591
338	302	589
339	302	587
340	303	585
341	303	584
342	304	582
343	304	581
344	305	579
345	305	578
346	306	576
347	306	574
348	307	573
349	307	571
350	308	569
351	308	568
352	309	566
353	309	565
354	310	563
355	310	561
356	310	560
357	311	558
358	311	556
359	312	555
360	312	553
361	313	551
362	313	550
363	314	548
364	314	547
365	314	545
366	315	543
367	315	542
368	316	541
369	316	539
370	317	538
371	317	536
372	318	535
373	318	533
374	319	532
375	319	530
376	320	529
377	320	527
378	321	526
379	321	524
380	322	523
381	322	521
382	323	520
383	323	519
384	324	517
385	324	516
386	324	514
387	325	513
388	325	511
389	326	510
390	326	508
391	327	507
392	327	506
393	328	504
394	328	503
395	329	502
396	329	500
397	330	499
398	330	498
399	331	496
400	331	495
401	332	494
402	332	492
403	332	491
404	333	489
405	333	488
406	334	486
407	334	485
408	335	484
409	335	482
410	335	481
411	336	480
412	336	478
413	337	477
414	337	475
415	338	474
416	338	473
